	offermade	qty	names	selling_items	buying_items	selling_items_quantity	buying_items_quantity
0	2018-01-14 08:22:53	1	Critles	['8608']	['2793']	['×1']	['×7']
1	2018-01-14 08:22:39	1	FakiDied	['2990']	['8608']	['×1']	['×1']
2	2018-01-14 08:22:39	1	FakiDied	['2990']	['2793']	['×1']	['×7']
3	2018-01-14 08:22:31	1	Lsothea	['1826']	['2591']	['×1']	['×2']
4	2018-01-14 08:22:31	1	Lsothea	['2591']	['2704']	['×3']	['×1']
5	2018-01-14 08:22:31	1	Lsothea	['2696']	['2741']	['×1']	['×1']
6	2018-01-14 08:22:19	1	Pikachutim	['2866']	['2592']	['×1']	['×1']
7	2018-01-14 08:22:19	1	Pikachutim	['2700']	['2592']	['×1']	['×1']
8	2018-01-14 08:22:11	1	Flattered	['2793', '2827']	['9015']	['×2', '×2']	['×1']
9	2018-01-14 08:22:02	1	QuigQuig	['2793']	['9063']	['×6']	['×1']
10	2018-01-14 08:22:02	1	QuigQuig	['2793']	['9060']	['×6']	['×1']
11	2018-01-14 08:21:28	1	Deklum	['2793', '29826']	['29823']	['×1', '×1']	['×1']
12	2018-01-14 08:21:28	1	Deklum	['2827']	['2793']	['×1']	['×2']
13	2018-01-14 08:21:28	1	Deklum	['2815']	['2793']	['×1']	['×1']
14	2018-01-14 08:21:28	1	Deklum	['2981']	['2793']	['×1']	['×1']
15	2018-01-14 08:21:28	1	Deklum	['2812']	['2793']	['×1']	['×1']
16	2018-01-14 08:21:28	1	Deklum	['8341']	['2794']	['×1']	['×1']
17	2018-01-14 08:21:28	1	Deklum	['8340']	['2793']	['×1']	['×4']
18	2018-01-14 08:21:28	1	Deklum	['8335']	['8345']	['×1']	['×1']
19	2018-01-14 08:21:18	1	Shiffer	['2793']	['29819']	['×6']	['×1']
20	2018-01-14 08:21:05	1	LHung	['2593']	['2793']	['×8']	['×1']
21	2018-01-14 08:21:05	1	LHung	['2592']	['2793']	['×6']	['×1']
22	2018-01-14 08:19:53	1	Wooph	['2815']	['2793']	['×1']	['×1']
